disease,symptoms,precautions,advice,recommended_doctor
Acute Bronchitis,cough|fever|shortness of breath|wheezing,consult a qualified doctor|drink fluids|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Allergy,itching|runny nose|sneezing|swelling,consult a qualified doctor|drink fluids|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Aplastic Anemia,dizziness|fatigue|shortness of breath|weakness,consult a qualified doctor|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Appendicitis,constipation|diarrhea|fever|loss of appetite|nausea|swelling|vomiting,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Arthritis,fever|joint pain|rash|swelling|weight loss,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Common Cold,cough|dehydration|fever|headache|runny nose|sneezing|sore throat,consult a qualified doctor|drink fluids|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Depression,a depressed mood|a loss of interest|depression,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Diabetes,fatigue|high blood pressure|numbness|tingling,consult a qualified doctor,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Flu,chills|cough|diarrhea|fatigue|fever|headache|sneezing|sore throat|vomiting|weakness,consult a qualified doctor|drink fluids|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Food Allergy,bloating|cough|diarrhea|dizziness|fever|rash|swelling|tingling|vomiting|wheezing,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Hemorrhagic Stroke,confusion|dizziness|headache|high blood pressure|numbness|weakness,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Hepatitis,abdominal pain|fatigue|fever|joint pain|loss of appetite|nausea|swelling|vomiting,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Hepatitis C,fatigue|fever|joint pain|loss of appetite|nausea|swelling|vomiting,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Hypothyroidism,constipation|depression|fatigue|high blood pressure|muscle pain|weight gain,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Infectious Arthritis,chills|fever|swelling,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Irritable Bowel Syndrome,bloating|constipation|diarrhea,consult a qualified doctor|drink fluids,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Kidney Stones,chills|fever|vomiting,consult a qualified doctor|drink fluids,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Migraine,anxiety|cough|depression|headache|nausea|vomiting|weakness,consult a qualified doctor|drink fluids|rest|seek urgent medical care if symptoms are severe,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Pneumonia,chest pain|chills|cough|diarrhea|fever|nausea|shortness of breath|vomiting,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Pulmonary Hypertension,chest pain|depression|dizziness|fainting|fatigue|palpitations|shortness of breath|swelling,consult a qualified doctor|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Rheumatoid Arthritis,fatigue|fever|joint pain|loss of appetite|swelling,consult a qualified doctor|drink fluids|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Sinusitis,cough|fatigue|fever|weakness,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Tuberculosis,chest pain|chills|cough|fatigue|fever|loss of appetite|weakness,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Post-COVID Conditions (Long COVID),chest pain|cough|diarrhea|fatigue|fever|headache|palpitations|stomach pain,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Fluid and Electrolyte Balance,dehydration|diarrhea|vomiting,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Glaucoma,eye pain|high blood pressure|nausea,consult a qualified doctor|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Anemia,headache,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
